spot_number,6am,7am,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,unique_zone,number_of_times_occupied,number_of_unique_cars,spot_type
161,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,12Right,15,1,Resident Only
162,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,12Right,15,1,Resident Only
163,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,12Right,0,0,Resident Only
164,false,false,false,false,false,true,true,true,true,true,true,true,false,true,true,12Right,9,2,Resident Only
165,true,true,false,false,false,false,false,false,false,false,true,true,true,true,true,12Right,7,2,Resident Only
166,true,true,true,false,true,true,true,true,true,false,false,true,true,true,true,12Right,12,3,Resident Only
167,true,true,false,false,false,false,false,false,false,false,false,true,true,true,true,12Right,6,2,Resident Only
168,true,false,false,false,false,false,false,false,false,true,true,false,true,true,true,12Right,6,3,Resident Only
169,true,true,true,true,true,true,true,false,false,false,false,false,false,false,true,12Right,8,2,Resident Only
170,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,12Right,0,0,Resident Only
171,true,true,false,false,false,false,false,false,false,false,false,false,false,false,true,12Right,3,1,Resident Only
172,true,true,true,true,true,true,false,false,false,false,false,true,false,true,true,12Right,9,3,Resident Only
173,true,true,true,true,false,false,false,false,false,true,false,false,true,true,true,12Right,8,3,Resident Only
174,true,false,true,true,true,true,false,false,false,false,false,false,true,true,true,12Right,8,5,Resident Only
175,false,false,false,false,false,false,true,true,false,true,true,true,true,true,true,12Right,8,2,Resident Only
176,false,true,true,true,true,true,false,false,false,false,false,false,false,false,false,12Right,5,1,Resident Only
177,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,12Right,15,1,Resident Only
178,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,12Right,13,1,Resident Only
179,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,12Right,15,1,Resident Only
180,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,12Right,0,0,Resident Only
181,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,12Right,4,1,Resident Only
182,true,true,false,false,false,false,false,false,false,false,false,false,true,true,true,12Right,5,2,Resident Only
183,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,12Right,2,2,Resident Only
184,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,12Right,14,2,Resident Only
185,false,false,false,false,true,true,true,true,true,false,false,false,true,true,true,12Right,8,3,Resident Only
186,true,false,false,false,true,true,true,true,true,true,true,true,false,false,false,12Right,9,3,Resident Only
187,true,false,true,true,true,true,true,true,false,false,false,false,false,true,true,12Right,9,3,Resident Only
188,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,12Right,15,3,Resident Only
189,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,12Right,5,2,Resident Only
190,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,12Right,5,1,Resident Only
191,false,false,false,false,false,false,false,false,false,false,true,true,true,false,true,12Right,4,2,Resident Only
192,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,12Right,15,1,Resident Only
193,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,13Right,15,1,Resident Only
194,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,13Right,15,1,Resident Only
195,false,false,false,true,true,false,false,false,false,false,true,true,true,true,true,13Right,7,2,Resident Only
196,true,false,false,false,false,true,true,true,true,true,true,true,true,true,true,13Right,11,2,Resident Only
197,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,13Right,15,1,Resident Only
198,true,false,true,true,true,true,false,true,true,true,true,false,true,true,true,13Right,12,5,Resident Only
199,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,13Right,15,1,Resident Only
200,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,13Right,14,2,Resident Only
201,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,13Right,0,0,Resident Only
202,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,13Right,14,11,Resident Only
